"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000080200","2633","Lumbar Spinal Cord","NEUAV181KYK","CGND-HRA-02405"
"ENSG00000080200","5578","Lumbar Spinal Cord","NEUAV667LJK","CGND-HRA-00345"
"ENSG00000080200","2561","Lumbar Spinal Cord","NEUAY067UTB","CGND-HRA-00750"
"ENSG00000080200","2226","Lumbar Spinal Cord","NEUBB078VEG","CGND-HRA-01323"
"ENSG00000080200","6430","Lumbar Spinal Cord","NEUBD692FG6","CGND-HRA-03328"
"ENSG00000080200","3439","Lumbar Spinal Cord","NEUBE992ZD1","CGND-HRA-01611"
"ENSG00000080200","2950","Lumbar Spinal Cord","NEUBN400CYR","CGND-HRA-03417"
"ENSG00000080200","3087","Lumbar Spinal Cord","NEUBU587UWA","CGND-HRA-02236"
"ENSG00000080200","7165","Lumbar Spinal Cord","NEUBU920EK5","CGND-HRA-03316"
"ENSG00000080200","2961","Lumbar Spinal Cord","NEUCG551GV1","CGND-HRA-00468"
"ENSG00000080200","2826","Lumbar Spinal Cord","NEUCN416KGV","CGND-HRA-02248"
"ENSG00000080200","3459","Lumbar Spinal Cord","NEUCV649UJK","CGND-HRA-00275"
"ENSG00000080200","6863","Lumbar Spinal Cord","NEUCW292DYJ","CGND-HRA-00279"
"ENSG00000080200","3238","Lumbar Spinal Cord","NEUCY461UB1","CGND-HRA-03041"
"ENSG00000080200","2054","Lumbar Spinal Cord","NEUDD512DJM","CGND-HRA-03465"
"ENSG00000080200","4997","Lumbar Spinal Cord","NEUDG361GA9","CGND-HRA-00238"
"ENSG00000080200","5098","Lumbar Spinal Cord","NEUDG727NTW","CGND-HRA-00432"
"ENSG00000080200","2749","Lumbar Spinal Cord","NEUDJ612NZM","CGND-HRA-02472"
"ENSG00000080200","4286","Lumbar Spinal Cord","NEUDK592BDZ","CGND-HRA-02153"
"ENSG00000080200","6292","Lumbar Spinal Cord","NEUDM397JGD","CGND-HRA-00235"
"ENSG00000080200","5546","Lumbar Spinal Cord","NEUDR086ZDQ","CGND-HRA-00237"
"ENSG00000080200","4817","Lumbar Spinal Cord","NEUDT233ZZ1","CGND-HRA-00426"
"ENSG00000080200","3495","Lumbar Spinal Cord","NEUDT709YHN","CGND-HRA-01648"
"ENSG00000080200","2732","Lumbar Spinal Cord","NEUDX768ADY","CGND-HRA-02795"
"ENSG00000080200","3747","Lumbar Spinal Cord","NEUEA633EN5","CGND-HRA-00675"
"ENSG00000080200","3433","Lumbar Spinal Cord","NEUEB569WFU","CGND-HRA-01416"
"ENSG00000080200","4260","Lumbar Spinal Cord","NEUEC006FND","CGND-HRA-00031"
"ENSG00000080200","2834","Lumbar Spinal Cord","NEUEE362LGE","CGND-HRA-01637"
"ENSG00000080200","3020","Lumbar Spinal Cord","NEUEE593VY7","CGND-HRA-00408"
"ENSG00000080200","5297","Lumbar Spinal Cord","NEUEF397VVN","CGND-HRA-00307"
"ENSG00000080200","4282","Lumbar Spinal Cord","NEUEF856BLV","CGND-HRA-00464"
"ENSG00000080200","5808","Lumbar Spinal Cord","NEUEH612JPA","CGND-HRA-00614"
"ENSG00000080200","6224","Lumbar Spinal Cord","NEUEL133AK6","CGND-HRA-00027"
"ENSG00000080200","3387","Lumbar Spinal Cord","NEUEL766XR1","CGND-HRA-03487"
"ENSG00000080200","2218","Lumbar Spinal Cord","NEUEM417CHQ","CGND-HRA-02505"
"ENSG00000080200","2624","Lumbar Spinal Cord","NEUEP010ZFE","CGND-HRA-01183"
"ENSG00000080200","2889","Lumbar Spinal Cord","NEUFE255AG2","CGND-HRA-00485"
"ENSG00000080200","3486","Lumbar Spinal Cord","NEUFG213VG0","CGND-HRA-03299"
"ENSG00000080200","2495","Lumbar Spinal Cord","NEUFR417RN4","CGND-HRA-03133"
"ENSG00000080200","4311","Lumbar Spinal Cord","NEUFT454ZFP","CGND-HRA-00233"
"ENSG00000080200","3270","Lumbar Spinal Cord","NEUFU395MJD","CGND-HRA-03055"
"ENSG00000080200","3068","Lumbar Spinal Cord","NEUFV843EVC","CGND-HRA-01502"
"ENSG00000080200","5818","Lumbar Spinal Cord","NEUFY271WFL","CGND-HRA-03275"
"ENSG00000080200","6950","Lumbar Spinal Cord","NEUGA773REC","CGND-HRA-00039"
"ENSG00000080200","2363","Lumbar Spinal Cord","NEUGD051YM7","CGND-HRA-02430"
"ENSG00000080200","2871","Lumbar Spinal Cord","NEUGD887RT1","CGND-HRA-01490"
"ENSG00000080200","3164","Lumbar Spinal Cord","NEUGG230KV0","CGND-HRA-02436"
"ENSG00000080200","2677","Lumbar Spinal Cord","NEUGJ562DR9","CGND-HRA-02513"
"ENSG00000080200","3257","Lumbar Spinal Cord","NEUGK141CFH","CGND-HRA-01177"
"ENSG00000080200","2203","Lumbar Spinal Cord","NEUGL022MN2","CGND-HRA-01583"
"ENSG00000080200","3007","Lumbar Spinal Cord","NEUGN938BHY","CGND-HRA-03115"
"ENSG00000080200","1275","Lumbar Spinal Cord","NEUGP259EBV","CGND-HRA-01447"
"ENSG00000080200","4321","Lumbar Spinal Cord","NEUGT049MJ1","CGND-HRA-02907"
