"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000263439","5","Cerebellum","NEUKV592NUT","CGND-HRA-01616"
"ENSG00000263439","5","Cerebellum","NEUKX037NKA","CGND-HRA-00182"
"ENSG00000263439","3","Cerebellum","NEUKX037NKA","CGND-HRA-00533"
"ENSG00000263439","1","Cerebellum","NEUKY135CV6","CGND-HRA-00380"
"ENSG00000263439","2","Cerebellum","NEUKZ647RCA","CGND-HRA-03348"
"ENSG00000263439","1","Cerebellum","NEUKZ727YY5","CGND-HRA-01622"
"ENSG00000263439","1","Cerebellum","NEULA285XJ0","CGND-HRA-01625"
"ENSG00000263439","5","Cerebellum","NEULH417FZJ","CGND-HRA-01278"
"ENSG00000263439","4","Cerebellum","NEULH901PYF","CGND-HRA-00726"
"ENSG00000263439","7","Cerebellum","NEULJ443PF5","CGND-HRA-01467"
"ENSG00000263439","3","Cerebellum","NEULN488RD5","CGND-HRA-00731"
"ENSG00000263439","4","Cerebellum","NEULP959LBP","CGND-HRA-01544"
"ENSG00000263439","9","Cerebellum","NEULT268RM4","CGND-HRA-00719"
"ENSG00000263439","4","Cerebellum","NEULV114EY9","CGND-HRA-01982"
"ENSG00000263439","3","Cerebellum","NEULV205HP5","CGND-HRA-03445"
"ENSG00000263439","4","Cerebellum","NEUME287RK2","CGND-HRA-00072"
"ENSG00000263439","0","Cerebellum","NEUMG691WPH","CGND-HRA-03474"
"ENSG00000263439","5","Cerebellum","NEUMH687NCM","CGND-HRA-03396"
"ENSG00000263439","4","Cerebellum","NEUMJ990MCW","CGND-HRA-03301"
"ENSG00000263439","3","Cerebellum","NEUMK638LUX","CGND-HRA-00549"
"ENSG00000263439","4","Cerebellum","NEUML172BXK","CGND-HRA-00197"
"ENSG00000263439","3","Cerebellum","NEUMM043VF4","CGND-HRA-02444"
"ENSG00000263439","4","Cerebellum","NEUMP035RP4","CGND-HRA-00204"
"ENSG00000263439","3","Cerebellum","NEUMT947ALA","CGND-HRA-00392"
"ENSG00000263439","7","Cerebellum","NEUMV641VYK","CGND-HRA-00410"
"ENSG00000263439","2","Cerebellum","NEUMY028JH4","CGND-HRA-01354"
"ENSG00000263439","10","Cerebellum","NEUNE163HV9","CGND-HRA-02912"
"ENSG00000263439","3","Cerebellum","NEUNE940RZC","CGND-HRA-00398"
"ENSG00000263439","1","Cerebellum","NEUNL548ZBN","CGND-HRA-00730"
"ENSG00000263439","9","Cerebellum","NEUNL974RU6","CGND-HRA-00620"
"ENSG00000263439","2","Cerebellum","NEUNW210GCW","CGND-HRA-00082"
"ENSG00000263439","3","Cerebellum","NEUNW244GF0","CGND-HRA-00349"
"ENSG00000263439","11","Cerebellum","NEUNY116EZW","CGND-HRA-00713"
"ENSG00000263439","2","Cerebellum","NEUNY116EZW","CGND-HRA-01480"
"ENSG00000263439","9","Cerebellum","NEUPG593UTV","CGND-HRA-03051"
"ENSG00000263439","0","Cerebellum","NEUPG876HJT","CGND-HRA-02163"
"ENSG00000263439","2","Cerebellum","NEUPH726JJJ","CGND-HRA-03439"
"ENSG00000263439","5","Cerebellum","NEUPK732LNT","CGND-HRA-00725"
"ENSG00000263439","2","Cerebellum","NEUPM864FBE","CGND-HRA-01613"
"ENSG00000263439","2","Cerebellum","NEUPU334DL1","CGND-HRA-01370"
"ENSG00000263439","1","Cerebellum","NEURA496RM8","CGND-HRA-03408"
"ENSG00000263439","1","Cerebellum","NEURD419AFL","CGND-HRA-03037"
"ENSG00000263439","9","Cerebellum","NEURD711XCL","CGND-HRA-00721"
"ENSG00000263439","3","Cerebellum","NEURJ886YZU","CGND-HRA-01510-2"
"ENSG00000263439","5","Cerebellum","NEURK749WFB","CGND-HRA-00729"
"ENSG00000263439","7","Cerebellum","NEURN516YR8","CGND-HRA-00720"
"ENSG00000263439","9","Cerebellum","NEURW761XNG","CGND-HRA-01451"
"ENSG00000263439","3","Cerebellum","NEURX991BWB","CGND-HRA-00618"
"ENSG00000263439","5","Cerebellum","NEURY396DC4","CGND-HRA-01603"
"ENSG00000263439","7","Cerebellum","NEURY468PVP","CGND-HRA-02244"
"ENSG00000263439","16","Cerebellum","NEUTB398FC9","CGND-HRA-00434"
"ENSG00000263439","0","Cerebellum","NEUTC015WBG","CGND-HRA-02500"
"ENSG00000263439","2","Cerebellum","NEUTC651YRK","CGND-HRA-01591-2"
"ENSG00000263439","3","Cerebellum","NEUTD254HL0","CGND-HRA-01516"
"ENSG00000263439","6","Cerebellum","NEUTL441LZ7","CGND-HRA-00319"
"ENSG00000263439","3","Cerebellum","NEUTL588HAA","CGND-HRA-01459"
"ENSG00000263439","1","Cerebellum","NEUTN269WMP","CGND-HRA-03031"
"ENSG00000263439","2","Cerebellum","NEUTP019MY9","CGND-HRA-00357"
"ENSG00000263439","1","Cerebellum","NEUTP414KZ2","CGND-HRA-00196"
"ENSG00000263439","6","Cerebellum","NEUTR110WRK","CGND-HRA-02533"
"ENSG00000263439","5","Cerebellum","NEUTZ062XC5","CGND-HRA-00653"
"ENSG00000263439","3","Cerebellum","NEUTZ242FYW","CGND-HRA-02486"
"ENSG00000263439","7","Cerebellum","NEUUE532LFF","CGND-HRA-00723"
"ENSG00000263439","3","Cerebellum","NEUUF289NRL","CGND-HRA-01366"
"ENSG00000263439","7","Cerebellum","NEUUK557CZW","CGND-HRA-00475"
"ENSG00000263439","2","Cerebellum","NEUUW406NWF","CGND-HRA-03491"
"ENSG00000263439","2","Cerebellum","NEUUW911LWA","CGND-HRA-00538"
"ENSG00000263439","2","Cerebellum","NEUUY552RBK","CGND-HRA-01644"
"ENSG00000263439","4","Cerebellum","NEUUZ212DHJ","CGND-HRA-03019"
"ENSG00000263439","5","Cerebellum","NEUVB305VU7","CGND-HRA-00194"
"ENSG00000263439","4","Cerebellum","NEUVE818GRA","CGND-HRA-03063"
"ENSG00000263439","2","Cerebellum","NEUVM032BF2","CGND-HRA-02632"
"ENSG00000263439","3","Cerebellum","NEUVZ387WGH","CGND-HRA-00326"
"ENSG00000263439","7","Cerebellum","NEUWC334RTZ","CGND-HRA-01372"
"ENSG00000263439","4","Cerebellum","NEUWD570BTK","CGND-HRA-01378"
"ENSG00000263439","4","Cerebellum","NEUWG326WUJ","CGND-HRA-01619"
"ENSG00000263439","0","Cerebellum","NEUWG523WRV","CGND-HRA-00639-2"
"ENSG00000263439","7","Cerebellum","NEUWK953TJN","CGND-HRA-02450"
"ENSG00000263439","1","Cerebellum","NEUWL993GU2","CGND-HRA-00676"
"ENSG00000263439","8","Cerebellum","NEUWP285RM6","CGND-HRA-00416"
"ENSG00000263439","2","Cerebellum","NEUWT414AYT","CGND-HRA-02181"
"ENSG00000263439","2","Cerebellum","NEUWX051HMF","CGND-HRA-01442"
"ENSG00000263439","3","Cerebellum","NEUWX086DGZ","CGND-HRA-00075"
"ENSG00000263439","1","Cerebellum","NEUWZ373ZHA","CGND-HRA-00311"
"ENSG00000263439","1","Cerebellum","NEUWZ841BRT","CGND-HRA-03265"
"ENSG00000263439","2","Cerebellum","NEUXD265LJ8","CGND-HRA-01657"
"ENSG00000263439","6","Cerebellum","NEUXD817GGZ","CGND-HRA-00718"
"ENSG00000263439","2","Cerebellum","NEUXD817GGZ","CGND-HRA-02220"
"ENSG00000263439","6","Cerebellum","NEUXF746MEU","CGND-HRA-02462"
"ENSG00000263439","5","Cerebellum","NEUXR145UBL","CGND-HRA-01358"
"ENSG00000263439","6","Cerebellum","NEUXT258BD4","CGND-HRA-00728"
"ENSG00000263439","4","Cerebellum","NEUXT979EZV","CGND-HRA-00078"
"ENSG00000263439","4","Cerebellum","NEUXV447YXF","CGND-HRA-03421"
"ENSG00000263439","6","Cerebellum","NEUXW599BNC","CGND-HRA-01311"
"ENSG00000263439","4","Cerebellum","NEUXY076JMB","CGND-HRA-00662"
"ENSG00000263439","6","Cerebellum","NEUYB686REL","CGND-HRA-00079"
"ENSG00000263439","8","Cerebellum","NEUYE611NWL","CGND-HRA-03330"
"ENSG00000263439","4","Cerebellum","NEUYJ579GT6","CGND-HRA-02175"
"ENSG00000263439","4","Cerebellum","NEUYM351YP3","CGND-HRA-02480"
"ENSG00000263439","2","Cerebellum","NEUYT145HVC","CGND-HRA-02156"
"ENSG00000263439","2","Cerebellum","NEUYT145HVC","CGND-HRA-03614"
"ENSG00000263439","4","Cerebellum","NEUYV496XLP","CGND-HRA-00070"
"ENSG00000263439","2","Cerebellum","NEUYW563PXU","CGND-HRA-02493-2"
"ENSG00000263439","4","Cerebellum","NEUYX020CB0","CGND-HRA-00386"
"ENSG00000263439","3","Cerebellum","NEUYY221HZA","CGND-HRA-00724"
"ENSG00000263439","4","Cerebellum","NEUZB953VCD","CGND-HRA-00598"
"ENSG00000263439","3","Cerebellum","NEUZK186ZK4","CGND-HRA-00202"
"ENSG00000263439","6","Cerebellum","NEUZU200WEQ","CGND-HRA-00071"
"ENSG00000263439","2","Cerebellum","NEUZV622ZHF","CGND-HRA-00636"
"ENSG00000263439","1","Cerebellum","NEUZX073BDK","CGND-HRA-00372"
"ENSG00000263439","7","Cerebellum","NEUZX847VWV-NEUWR459TCY","CGND-HRA-01556"
"ENSG00000244371","68","Cerebellum","GWF14-01","CGND-HRA-00295"
"ENSG00000244371","30","Cerebellum","JHU10","CGND-HRA-00106"
"ENSG00000244371","8","Cerebellum","JHU12","CGND-HRA-00108"
"ENSG00000244371","14","Cerebellum","JHU14","CGND-HRA-00110"
"ENSG00000244371","20","Cerebellum","JHU15","CGND-HRA-00111"
"ENSG00000244371","60","Cerebellum","JHU21","CGND-HRA-00117-2"
"ENSG00000244371","19","Cerebellum","JHU22","CGND-HRA-00118"
"ENSG00000244371","25","Cerebellum","JHU25","CGND-HRA-00121"
"ENSG00000244371","95","Cerebellum","JHU29","CGND-HRA-00125"
"ENSG00000244371","14","Cerebellum","JHU3","CGND-HRA-00099"
"ENSG00000244371","30","Cerebellum","JHU30","CGND-HRA-00126"
"ENSG00000244371","50","Cerebellum","JHU32","CGND-HRA-00128"
"ENSG00000244371","30","Cerebellum","JHU34","CGND-HRA-00130"
"ENSG00000244371","46","Cerebellum","JHU44","CGND-HRA-00140"
"ENSG00000244371","70","Cerebellum","JHU45","CGND-HRA-00141"
"ENSG00000244371","54","Cerebellum","JHU46","CGND-HRA-00142"
"ENSG00000244371","27","Cerebellum","JHU47","CGND-HRA-00143"
"ENSG00000244371","36","Cerebellum","JHU5","CGND-HRA-00101"
